open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713571200000,63787.40,63833.30,63638.00,63813.40,1196.135,1713571499999,76229385.66560,20174,550.706,35100884.68360,0
1713571500000,63813.30,63950.40,63752.10,63950.30,1207.449,1713571799999,77136045.06190,16908,664.216,42430091.42910,0
1713571800000,63950.30,63957.20,63614.00,63717.00,1819.617,1713572099999,115964854.19740,24664,876.943,55877988.27110,0
1713572100000,63717.10,63773.40,63407.40,63519.60,1985.719,1713572399999,126232574.68240,26625,785.604,49945840.90030,0
1713572400000,63519.60,64236.20,63384.70,63984.10,4437.429,1713572699999,283336982.15652,57786,2569.464,164080038.56532,0
1713572700000,63984.00,63999.00,63779.10,63847.90,1540.485,1713572999999,98413953.31660,27390,726.128,46392431.59050,0
1713573000000,63848.00,63977.40,63812.10,63922.10,792.762,1713573299999,50652342.61650,20681,419.933,26833301.05050,0
1713573300000,63922.10,63955.00,63698.50,63790.70,832.820,1713573599999,53129688.38580,18394,368.581,23520707.00800,0
1713573600000,63790.60,63928.90,63790.50,63807.50,694.084,1713573899999,44325197.90770,14607,413.740,26424418.75180,0
1713573900000,63807.60,63908.00,63525.60,63601.10,1404.778,1713574199999,89443091.42010,23629,477.894,30432745.52860,0
1713574200000,63601.00,63621.20,63417.00,63545.50,1593.324,1713574499999,101158104.62360,25000,883.030,56062012.16060,0
1713574500000,63545.40,63587.60,63407.40,63407.40,657.270,1713574799999,41744023.22330,13671,286.443,18196164.71040,0
1713574800000,63407.50,63450.10,63045.10,63300.90,3849.201,1713575099999,243364003.99010,42231,1862.267,117739322.05920,0
1713575100000,63301.00,63418.90,63207.40,63292.40,1861.700,1713575399999,117884112.02840,24735,1031.509,65314374.62600,0
1713575400000,63292.50,63577.50,63286.80,63461.00,1263.390,1713575699999,80176604.43190,18333,818.475,51930900.27140,0
1713575700000,63461.00,63605.40,63452.00,63580.10,635.920,1713575999999,40418328.44000,12109,447.644,28452660.71480,0
1713576000000,63580.00,63590.80,63463.20,63474.70,442.770,1713576299999,28130945.49600,9581,192.653,12241107.15270,0
